250,50
250,66
266,82
266,98
266,114
282,50
282,66
314,66
314,82
314,98
314,114
330,50
330,82
346,66
346,82
346,98
346,114
410,50
410,66
410,82
410,98
410,114
426,50
426,82
442,50
442,66
442,98
442,114
474,50
474,66
474,82
474,98
474,114
490,114
506,114
538,50
538,66
554,82
554,98
554,114
570,50
570,66
602,50
602,66
602,82
153,283
178,257
199,232
220,232
250,232
268,232
281,237
294,248
238,368
260,367
286,375
304,390
325,367
431,413
432,430
432,444
432,458
431,470
431,488
601,406
618,406
639,393
664,384
675,371
687,359
560,311
574,296
581,283
610,283
641,270
666,270
687,270
239,302
612,345
