224,185
222,253
222,328
265,375
287,435
201,663
166,713
167,777
204,834
258,861
351,861
411,835
582,839
640,530
713,855
735,904
459,1027
516,1082
619,1087
765,1089
857,1057
376,583
419,626
463,632
527,600
554,513
554,439
554,356
587,312
638,282
699,287
786,287
873,300
1035,197
1081,149
1169,125
1269,125
1325,131
1360,185
1335,231
1303,262
1293,322
1294,409
1294,477
1256,517
1224,554
1188,560
1126,536
1102,490
847,491
891,531
927,576
926,647
926,721
962,805
1024,845
1074,848
1130,807
1166,769
1166,725
1374,686
1391,735
1391,801
1392,878
1351,934
1314,976
1311,1016
1338,1048
1367,1071
